2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 536, column 'company_id' - found int value: 133475
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 544, column 'company_id' - found int value: 15138
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 564, column 'company_id' - found int value: 1792
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 565, column 'company_id' - found int value: 15761
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 568, column 'company_id' - found int value: 34156
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 570, column 'company_id' - found int value: 21670
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 572, column 'company_id' - found int value: 4782
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 574, column 'company_id' - found int value: 10599
2025-06-08 10:31:59,160 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 575, column 'company_id' - found int value: 1780
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 587, column 'company_id' - found int value: 78587
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 588, column 'company_id' - found int value: 18773
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 589, column 'company_id' - found int value: 99
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 590, column 'company_id' - found int value: 117409
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 591, column 'company_id' - found int value: 18773
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 592, column 'company_id' - found int value: 18773
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 593, column 'company_id' - found int value: 18773
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 594, column 'company_id' - found int value: 18773
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 595, column 'company_id' - found int value: 18773
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 596, column 'company_id' - found int value: 14717
2025-06-08 10:31:59,161 [ERROR] DatabaseManager - DEBUG: Potential mismatch at record 597, column 'company_id' - found int value: 81510
